({'lmb': 1e-05, 'lr': 0.01, 'lr_decay': 0.7, 'lr_step': 30}, 0.0033083551097661257, 0.0072244033217430115)
({'lmb': 1e-05, 'lr': 0.01, 'lr_decay': 0.7, 'lr_step': 40}, 0.0003811503411270678, 0.0011744893854483962)
({'lmb': 1e-05, 'lr': 0.01, 'lr_decay': 0.8, 'lr_step': 30}, 0.001487702946178615, 0.0022658018860965967)
({'lmb': 1e-05, 'lr': 0.01, 'lr_decay': 0.8, 'lr_step': 40}, 0.0024552899412810802, 0.005689497105777264)
({'lmb': 1e-05, 'lr': 0.006, 'lr_decay': 0.7, 'lr_step': 30}, 0.0010566915152594447, 0.0028327542822808027)
({'lmb': 1e-05, 'lr': 0.006, 'lr_decay': 0.7, 'lr_step': 40}, 0.0004937341436743736, 0.002297970000654459)
({'lmb': 1e-05, 'lr': 0.006, 'lr_decay': 0.8, 'lr_step': 30}, 0.0004665853048209101, 0.0010996219934895635)
({'lmb': 1e-05, 'lr': 0.006, 'lr_decay': 0.8, 'lr_step': 40}, 0.00021254492457956076, 0.0004219421825837344)
({'lmb': 1e-05, 'lr': 0.003, 'lr_decay': 0.7, 'lr_step': 30}, 0.0006566258380189538, 0.0011054406641051173)
({'lmb': 1e-05, 'lr': 0.003, 'lr_decay': 0.7, 'lr_step': 40}, 0.0007592923357151449, 0.0013069654814898968)
({'lmb': 1e-05, 'lr': 0.003, 'lr_decay': 0.8, 'lr_step': 30}, 0.0004513054736889899, 0.0008784504607319832)
({'lmb': 1e-05, 'lr': 0.003, 'lr_decay': 0.8, 'lr_step': 40}, 0.00031467751250602305, 0.0005145229515619576)
({'lmb': 1e-05, 'lr': 0.001, 'lr_decay': 0.7, 'lr_step': 30}, 0.0017467407742515206, 0.0023997279349714518)
({'lmb': 1e-05, 'lr': 0.001, 'lr_decay': 0.7, 'lr_step': 40}, 0.0014101016568019986, 0.0018783332780003548)
({'lmb': 1e-05, 'lr': 0.001, 'lr_decay': 0.8, 'lr_step': 30}, 0.0011859970400109887, 0.0034616149496287107)
({'lmb': 1e-05, 'lr': 0.001, 'lr_decay': 0.8, 'lr_step': 40}, 0.0004697432741522789, 0.0007064518285915256)
({'lmb': 1e-06, 'lr': 0.01, 'lr_decay': 0.7, 'lr_step': 30}, 0.0012194793671369553, 0.00279778684489429)
({'lmb': 1e-06, 'lr': 0.01, 'lr_decay': 0.7, 'lr_step': 40}, 0.001637354027479887, 0.004830373451113701)
