({'lmb': 1e-05, 'lr': 0.001, 'lr_decay': 0.5, 'lr_step': 100}, 0.0004518039640970528, 0.0018804260762408376)
({'lmb': 1e-05, 'lr': 0.001, 'lr_decay': 0.5, 'lr_step': 200}, 0.0006123664206825197, 0.002517080632969737)
({'lmb': 1e-05, 'lr': 0.001, 'lr_decay': 0.5, 'lr_step': 500}, 0.0020983063150197268, 0.0031567728146910667)
({'lmb': 1e-05, 'lr': 0.001, 'lr_decay': 0.3, 'lr_step': 100}, 0.0005955794476903975, 0.0027490132488310337)
({'lmb': 1e-05, 'lr': 0.001, 'lr_decay': 0.3, 'lr_step': 200}, 0.00036622333573177457, 0.002086120657622814)
({'lmb': 1e-05, 'lr': 0.001, 'lr_decay': 0.3, 'lr_step': 500}, 0.0021765250712633133, 0.006664724089205265)
({'lmb': 1e-05, 'lr': 0.0005, 'lr_decay': 0.5, 'lr_step': 100}, 0.0005671317921951413, 0.0021017277613282204)
({'lmb': 1e-05, 'lr': 0.0005, 'lr_decay': 0.5, 'lr_step': 200}, 0.0004402588529046625, 0.002146684331819415)
({'lmb': 1e-05, 'lr': 0.0005, 'lr_decay': 0.5, 'lr_step': 500}, 0.0006861512665636837, 0.002481086179614067)
({'lmb': 1e-05, 'lr': 0.0005, 'lr_decay': 0.3, 'lr_step': 100}, 0.0009469257201999426, 0.0038065584376454353)
({'lmb': 1e-05, 'lr': 0.0005, 'lr_decay': 0.3, 'lr_step': 200}, 0.00050071015721187, 0.00235673226416111)
({'lmb': 1e-05, 'lr': 0.0005, 'lr_decay': 0.3, 'lr_step': 500}, 0.0003934548585675657, 0.002149437554180622)
({'lmb': 1e-05, 'lr': 1e-05, 'lr_decay': 0.5, 'lr_step': 100}, 0.02371344342827797, 0.028914261609315872)
({'lmb': 1e-05, 'lr': 1e-05, 'lr_decay': 0.5, 'lr_step': 200}, 0.021484609693288803, 0.02775244414806366)
({'lmb': 1e-05, 'lr': 1e-05, 'lr_decay': 0.5, 'lr_step': 500}, 0.01977083459496498, 0.02647874318063259)
({'lmb': 1e-05, 'lr': 1e-05, 'lr_decay': 0.3, 'lr_step': 100}, 0.02823793888092041, 0.0329645574092865)
({'lmb': 1e-05, 'lr': 1e-05, 'lr_decay': 0.3, 'lr_step': 200}, 0.022943226620554924, 0.02895900048315525)
({'lmb': 1e-05, 'lr': 1e-05, 'lr_decay': 0.3, 'lr_step': 500}, 0.01983070746064186, 0.027125153690576553)
({'lmb': 1e-06, 'lr': 0.001, 'lr_decay': 0.5, 'lr_step': 100}, 0.00042750989086925983, 0.001970392419025302)
({'lmb': 1e-06, 'lr': 0.001, 'lr_decay': 0.5, 'lr_step': 200}, 0.0007831017137505114, 0.0025794277898967266)
({'lmb': 1e-06, 'lr': 0.001, 'lr_decay': 0.5, 'lr_step': 500}, 0.0010560898808762431, 0.003976971376687288)
({'lmb': 1e-06, 'lr': 0.001, 'lr_decay': 0.3, 'lr_step': 100}, 0.0007312902598641813, 0.0032330029644072056)
({'lmb': 1e-06, 'lr': 0.001, 'lr_decay': 0.3, 'lr_step': 200}, 0.000376920128474012, 0.002224454190582037)
({'lmb': 1e-06, 'lr': 0.001, 'lr_decay': 0.3, 'lr_step': 500}, 0.0012630148557946086, 0.00480202492326498)
({'lmb': 1e-06, 'lr': 0.0005, 'lr_decay': 0.5, 'lr_step': 100}, 0.0005981160793453455, 0.0023420925717800856)
({'lmb': 1e-06, 'lr': 0.0005, 'lr_decay': 0.5, 'lr_step': 200}, 0.0005739388871006668, 0.001965522300451994)
({'lmb': 1e-06, 'lr': 0.0005, 'lr_decay': 0.5, 'lr_step': 500}, 0.0015461654402315617, 0.002819272456690669)
({'lmb': 1e-06, 'lr': 0.0005, 'lr_decay': 0.3, 'lr_step': 100}, 0.0010254763765260577, 0.004128146916627884)
({'lmb': 1e-06, 'lr': 0.0005, 'lr_decay': 0.3, 'lr_step': 200}, 0.0005258937599137425, 0.0025657580699771643)
({'lmb': 1e-06, 'lr': 0.0005, 'lr_decay': 0.3, 'lr_step': 500}, 0.00105418567545712, 0.0036559957079589367)
({'lmb': 1e-06, 'lr': 1e-05, 'lr_decay': 0.5, 'lr_step': 100}, 0.023922739550471306, 0.028936441987752914)
({'lmb': 1e-06, 'lr': 1e-05, 'lr_decay': 0.5, 'lr_step': 200}, 0.021514277905225754, 0.028226273134350777)
({'lmb': 1e-06, 'lr': 1e-05, 'lr_decay': 0.5, 'lr_step': 500}, 0.019849583506584167, 0.02541157230734825)
({'lmb': 1e-06, 'lr': 1e-05, 'lr_decay': 0.3, 'lr_step': 100}, 0.027967380359768867, 0.03203365579247475)
({'lmb': 1e-06, 'lr': 1e-05, 'lr_decay': 0.3, 'lr_step': 200}, 0.022473912686109543, 0.028614865615963936)
({'lmb': 1e-06, 'lr': 1e-05, 'lr_decay': 0.3, 'lr_step': 500}, 0.019747022539377213, 0.02640751749277115)
({'lmb': 1e-07, 'lr': 0.001, 'lr_decay': 0.5, 'lr_step': 100}, 0.00039500504499301314, 0.0023364494554698467)
({'lmb': 1e-07, 'lr': 0.001, 'lr_decay': 0.5, 'lr_step': 200}, 0.0005198813742026687, 0.0019349027425050735)
({'lmb': 1e-07, 'lr': 0.001, 'lr_decay': 0.5, 'lr_step': 500}, 0.0034794670064002275, 0.008334494195878506)
({'lmb': 1e-07, 'lr': 0.001, 'lr_decay': 0.3, 'lr_step': 100}, 0.0006600823835469782, 0.003020851407200098)
({'lmb': 1e-07, 'lr': 0.001, 'lr_decay': 0.3, 'lr_step': 200}, 0.00038219743873924017, 0.0023620619904249907)
({'lmb': 1e-07, 'lr': 0.001, 'lr_decay': 0.3, 'lr_step': 500}, 0.0005877978401258588, 0.002966845640912652)
({'lmb': 1e-07, 'lr': 0.0005, 'lr_decay': 0.5, 'lr_step': 100}, 0.0006132849375717342, 0.002555203391239047)
({'lmb': 1e-07, 'lr': 0.0005, 'lr_decay': 0.5, 'lr_step': 200}, 0.0006940788007341325, 0.002009073505178094)
({'lmb': 1e-07, 'lr': 0.0005, 'lr_decay': 0.5, 'lr_step': 500}, 0.0022866472136229277, 0.0039537386037409306)
({'lmb': 1e-07, 'lr': 0.0005, 'lr_decay': 0.3, 'lr_step': 100}, 0.0009611435234546661, 0.003847966669127345)
({'lmb': 1e-07, 'lr': 0.0005, 'lr_decay': 0.3, 'lr_step': 200}, 0.0004776526184286922, 0.0021949203219264746)
({'lmb': 1e-07, 'lr': 0.0005, 'lr_decay': 0.3, 'lr_step': 500}, 0.0005815872573293746, 0.0026960421819239855)
({'lmb': 1e-07, 'lr': 1e-05, 'lr_decay': 0.5, 'lr_step': 100}, 0.024124721065163612, 0.028867915272712708)
({'lmb': 1e-07, 'lr': 1e-05, 'lr_decay': 0.5, 'lr_step': 200}, 0.02164030820131302, 0.0281005147844553)
({'lmb': 1e-07, 'lr': 1e-05, 'lr_decay': 0.5, 'lr_step': 500}, 0.01965283788740635, 0.026139233261346817)
({'lmb': 1e-07, 'lr': 1e-05, 'lr_decay': 0.3, 'lr_step': 100}, 0.0294512752443552, 0.034219734370708466)
({'lmb': 1e-07, 'lr': 1e-05, 'lr_decay': 0.3, 'lr_step': 200}, 0.022359367460012436, 0.028916746377944946)
({'lmb': 1e-07, 'lr': 1e-05, 'lr_decay': 0.3, 'lr_step': 500}, 0.019912153482437134, 0.026537349447607994)
