({'lmb': 1e-05, 'lr': 0.01, 'lr_decay': 0.7, 'lr_step': 30}, 0.011389252729713917, 0.010386580601334572)
({'lmb': 1e-05, 'lr': 0.01, 'lr_decay': 0.7, 'lr_step': 40}, 0.00450599379837513, 0.008291337639093399)
({'lmb': 1e-05, 'lr': 0.01, 'lr_decay': 0.8, 'lr_step': 30}, 0.0008471080800518394, 0.0010578620713204145)
({'lmb': 1e-05, 'lr': 0.01, 'lr_decay': 0.8, 'lr_step': 40}, 0.0018874038942158222, 0.0031663901172578335)
({'lmb': 1e-05, 'lr': 0.006, 'lr_decay': 0.7, 'lr_step': 30}, 0.004055422730743885, 0.007487457245588303)
({'lmb': 1e-05, 'lr': 0.006, 'lr_decay': 0.7, 'lr_step': 40}, 0.00024524121545255184, 0.00036222272319719195)
({'lmb': 1e-05, 'lr': 0.006, 'lr_decay': 0.8, 'lr_step': 30}, 0.00024717210908420384, 0.00037394894752651453)
({'lmb': 1e-05, 'lr': 0.006, 'lr_decay': 0.8, 'lr_step': 40}, 0.00021935418772045523, 0.00035947770811617374)
({'lmb': 1e-05, 'lr': 0.003, 'lr_decay': 0.7, 'lr_step': 30}, 0.0005488309543579817, 0.000547203584574163)
({'lmb': 1e-05, 'lr': 0.003, 'lr_decay': 0.7, 'lr_step': 40}, 0.00040198012720793486, 0.0004618515959009528)
({'lmb': 1e-05, 'lr': 0.003, 'lr_decay': 0.8, 'lr_step': 30}, 0.0005879529635421932, 0.0006417768890969455)
({'lmb': 1e-05, 'lr': 0.003, 'lr_decay': 0.8, 'lr_step': 40}, 0.00026470821467228234, 0.0003699716180562973)
({'lmb': 1e-05, 'lr': 0.001, 'lr_decay': 0.7, 'lr_step': 30}, 0.0013139467919245362, 0.0014877509092912078)
({'lmb': 1e-05, 'lr': 0.001, 'lr_decay': 0.7, 'lr_step': 40}, 0.0008347587427124381, 0.0010435439180582762)
({'lmb': 1e-05, 'lr': 0.001, 'lr_decay': 0.8, 'lr_step': 30}, 0.0008622444001957774, 0.0012462420854717493)
({'lmb': 1e-05, 'lr': 0.001, 'lr_decay': 0.8, 'lr_step': 40}, 0.000706715858541429, 0.000973555026575923)
({'lmb': 1e-06, 'lr': 0.01, 'lr_decay': 0.7, 'lr_step': 30}, 0.013522022403776646, 0.010225185193121433)
({'lmb': 1e-06, 'lr': 0.01, 'lr_decay': 0.7, 'lr_step': 40}, 0.006202857010066509, 0.00655990419909358)
({'lmb': 1e-06, 'lr': 0.01, 'lr_decay': 0.8, 'lr_step': 30}, 0.0006210231222212315, 0.000984244979918003)
({'lmb': 1e-06, 'lr': 0.01, 'lr_decay': 0.8, 'lr_step': 40}, 0.0003274124173913151, 0.0005756666068919003)
({'lmb': 1e-06, 'lr': 0.006, 'lr_decay': 0.7, 'lr_step': 30}, 0.002227377612143755, 0.00423302361741662)
({'lmb': 1e-06, 'lr': 0.006, 'lr_decay': 0.7, 'lr_step': 40}, 0.00035885570105165243, 0.0005552367074415088)
({'lmb': 1e-06, 'lr': 0.006, 'lr_decay': 0.8, 'lr_step': 30}, 0.0007924559758976102, 0.0007269465713761747)
({'lmb': 1e-06, 'lr': 0.006, 'lr_decay': 0.8, 'lr_step': 40}, 0.000382683880161494, 0.0007901614881120622)
({'lmb': 1e-06, 'lr': 0.003, 'lr_decay': 0.7, 'lr_step': 30}, 0.0005562108708545566, 0.0006982953054830432)
({'lmb': 1e-06, 'lr': 0.003, 'lr_decay': 0.7, 'lr_step': 40}, 0.0004886453971266747, 0.0005171643570065498)
({'lmb': 1e-06, 'lr': 0.003, 'lr_decay': 0.8, 'lr_step': 30}, 0.0002930238260887563, 0.00038602773565799)
({'lmb': 1e-06, 'lr': 0.003, 'lr_decay': 0.8, 'lr_step': 40}, 0.0002730358100961894, 0.0003466134367045015)
({'lmb': 1e-06, 'lr': 0.001, 'lr_decay': 0.7, 'lr_step': 30}, 0.0015789686003699899, 0.001719144987873733)
({'lmb': 1e-06, 'lr': 0.001, 'lr_decay': 0.7, 'lr_step': 40}, 0.0009234324679709971, 0.0010971970623359084)
({'lmb': 1e-06, 'lr': 0.001, 'lr_decay': 0.8, 'lr_step': 30}, 0.0007032493012957275, 0.0007854306022636592)
({'lmb': 1e-06, 'lr': 0.001, 'lr_decay': 0.8, 'lr_step': 40}, 0.0005428470321930945, 0.0006590617704205215)
({'lmb': 1e-07, 'lr': 0.01, 'lr_decay': 0.7, 'lr_step': 30}, 0.002076753880828619, 0.004775771871209145)
({'lmb': 1e-07, 'lr': 0.01, 'lr_decay': 0.7, 'lr_step': 40}, 0.002798010129481554, 0.004047459922730923)
({'lmb': 1e-07, 'lr': 0.01, 'lr_decay': 0.8, 'lr_step': 30}, 0.003108434611931443, 0.006740890443325043)
({'lmb': 1e-07, 'lr': 0.01, 'lr_decay': 0.8, 'lr_step': 40}, 0.00031225717975758016, 0.00040040502790361643)
({'lmb': 1e-07, 'lr': 0.006, 'lr_decay': 0.7, 'lr_step': 30}, 0.0011488735908642411, 0.0020632590167224407)
({'lmb': 1e-07, 'lr': 0.006, 'lr_decay': 0.7, 'lr_step': 40}, 0.00025000039022415876, 0.00032816510065458715)
({'lmb': 1e-07, 'lr': 0.006, 'lr_decay': 0.8, 'lr_step': 30}, 0.0002372849703533575, 0.0003674998879432678)
({'lmb': 1e-07, 'lr': 0.006, 'lr_decay': 0.8, 'lr_step': 40}, 0.0005328047554939985, 0.0007724715396761894)
({'lmb': 1e-07, 'lr': 0.003, 'lr_decay': 0.7, 'lr_step': 30}, 0.0007640724652446806, 0.001107861869968474)
({'lmb': 1e-07, 'lr': 0.003, 'lr_decay': 0.7, 'lr_step': 40}, 0.0007923461962491274, 0.00143652711994946)
({'lmb': 1e-07, 'lr': 0.003, 'lr_decay': 0.8, 'lr_step': 30}, 0.0002891036565415561, 0.00038672686787322164)
({'lmb': 1e-07, 'lr': 0.003, 'lr_decay': 0.8, 'lr_step': 40}, 0.0002938318648375571, 0.00040077156154438853)
({'lmb': 1e-07, 'lr': 0.001, 'lr_decay': 0.7, 'lr_step': 30}, 0.00210775388404727, 0.0031534554436802864)
({'lmb': 1e-07, 'lr': 0.001, 'lr_decay': 0.7, 'lr_step': 40}, 0.0009624472004361451, 0.000952222035266459)
({'lmb': 1e-07, 'lr': 0.001, 'lr_decay': 0.8, 'lr_step': 30}, 0.0006598950130864978, 0.0009361258707940578)
({'lmb': 1e-07, 'lr': 0.001, 'lr_decay': 0.8, 'lr_step': 40}, 0.0006837306427769363, 0.0009040224831551313)
