({'lmb': 1e-05, 'lr': 0.01, 'lr_decay': 0.7, 'lr_step': 30}, 0.018269507214426994, 0.020159177482128143)
({'lmb': 1e-05, 'lr': 0.01, 'lr_decay': 0.7, 'lr_step': 40}, 0.0072767348028719425, 0.010578940622508526)
({'lmb': 1e-05, 'lr': 0.01, 'lr_decay': 0.8, 'lr_step': 30}, 0.007120966911315918, 0.009002509526908398)
({'lmb': 1e-05, 'lr': 0.01, 'lr_decay': 0.8, 'lr_step': 40}, 0.002628068206831813, 0.0025189975276589394)
({'lmb': 1e-05, 'lr': 0.006, 'lr_decay': 0.7, 'lr_step': 30}, 0.001985390903428197, 0.0018214699812233448)
({'lmb': 1e-05, 'lr': 0.006, 'lr_decay': 0.7, 'lr_step': 40}, 0.001174549339339137, 0.000969100627116859)
({'lmb': 1e-05, 'lr': 0.006, 'lr_decay': 0.8, 'lr_step': 30}, 0.0006639238563366234, 0.0008614807156845927)
({'lmb': 1e-05, 'lr': 0.006, 'lr_decay': 0.8, 'lr_step': 40}, 0.00042801134986802936, 0.0007434140425175428)
({'lmb': 1e-05, 'lr': 0.003, 'lr_decay': 0.7, 'lr_step': 30}, 0.0020989002659916878, 0.0021204007789492607)
({'lmb': 1e-05, 'lr': 0.003, 'lr_decay': 0.7, 'lr_step': 40}, 0.0009992369450628757, 0.0009760577813722193)
({'lmb': 1e-05, 'lr': 0.003, 'lr_decay': 0.8, 'lr_step': 30}, 0.0006526448996737599, 0.0006465896731242537)
({'lmb': 1e-05, 'lr': 0.003, 'lr_decay': 0.8, 'lr_step': 40}, 0.0005841240636073053, 0.0007395105203613639)
({'lmb': 1e-05, 'lr': 0.001, 'lr_decay': 0.7, 'lr_step': 30}, 0.002700919983908534, 0.00312657724134624)
({'lmb': 1e-05, 'lr': 0.001, 'lr_decay': 0.7, 'lr_step': 40}, 0.001862828736193478, 0.0013568956637755036)
({'lmb': 1e-05, 'lr': 0.001, 'lr_decay': 0.8, 'lr_step': 30}, 0.001204994972795248, 0.0012813074281439185)
({'lmb': 1e-05, 'lr': 0.001, 'lr_decay': 0.8, 'lr_step': 40}, 0.0009852905059233308, 0.0009267709101550281)
({'lmb': 1e-06, 'lr': 0.01, 'lr_decay': 0.7, 'lr_step': 30}, 0.003846509149298072, 0.0051330691203475)
({'lmb': 1e-06, 'lr': 0.01, 'lr_decay': 0.7, 'lr_step': 40}, 0.0016638007946312428, 0.0014915823703631759)
({'lmb': 1e-06, 'lr': 0.01, 'lr_decay': 0.8, 'lr_step': 30}, 0.0009466636693105102, 0.0014446158893406391)
({'lmb': 1e-06, 'lr': 0.01, 'lr_decay': 0.8, 'lr_step': 40}, 0.0011370638385415077, 0.001707515213638544)
({'lmb': 1e-06, 'lr': 0.006, 'lr_decay': 0.7, 'lr_step': 30}, 0.0018240011995658278, 0.0015890838112682104)
({'lmb': 1e-06, 'lr': 0.006, 'lr_decay': 0.7, 'lr_step': 40}, 0.0008241491741500795, 0.0008608301286585629)
({'lmb': 1e-06, 'lr': 0.006, 'lr_decay': 0.8, 'lr_step': 30}, 0.0006349009927362204, 0.0007189851021394134)
({'lmb': 1e-06, 'lr': 0.006, 'lr_decay': 0.8, 'lr_step': 40}, 0.0014298863243311644, 0.0013556148624047637)
({'lmb': 1e-06, 'lr': 0.003, 'lr_decay': 0.7, 'lr_step': 30}, 0.0012534366687759757, 0.0010987728601321578)
({'lmb': 1e-06, 'lr': 0.003, 'lr_decay': 0.7, 'lr_step': 40}, 0.0010621636174619198, 0.0010803111363202333)
