({'lmb': 1e-05, 'lr': 0.001, 'lr_decay': 0.5, 'lr_step': 100}, 0.00013056636089459062, 0.00028954181470908225)
({'lmb': 1e-05, 'lr': 0.001, 'lr_decay': 0.5, 'lr_step': 200}, 0.00024303865211550146, 0.00035242410376667976)
({'lmb': 1e-05, 'lr': 0.001, 'lr_decay': 0.5, 'lr_step': 500}, 0.0015218242770060897, 0.0023734187707304955)
({'lmb': 1e-05, 'lr': 0.001, 'lr_decay': 0.3, 'lr_step': 100}, 0.00025942837237380445, 0.000569981406442821)
({'lmb': 1e-05, 'lr': 0.001, 'lr_decay': 0.3, 'lr_step': 200}, 0.00010861003102036193, 0.00020217394921928644)
({'lmb': 1e-05, 'lr': 0.001, 'lr_decay': 0.3, 'lr_step': 500}, 0.0008647485519759357, 0.0014843245735391974)
({'lmb': 1e-05, 'lr': 0.0005, 'lr_decay': 0.5, 'lr_step': 100}, 0.00019496567256283015, 0.00035082409158349037)
({'lmb': 1e-05, 'lr': 0.0005, 'lr_decay': 0.5, 'lr_step': 200}, 0.0001604410063009709, 0.00023883341054897755)
({'lmb': 1e-05, 'lr': 0.0005, 'lr_decay': 0.5, 'lr_step': 500}, 0.0003796000382862985, 0.0006349002360366285)
({'lmb': 1e-05, 'lr': 0.0005, 'lr_decay': 0.3, 'lr_step': 100}, 0.0004113916074857116, 0.0008230286184698343)
({'lmb': 1e-05, 'lr': 0.0005, 'lr_decay': 0.3, 'lr_step': 200}, 0.0001491397706558928, 0.000271836033789441)
({'lmb': 1e-05, 'lr': 0.0005, 'lr_decay': 0.3, 'lr_step': 500}, 0.0003283560217823833, 0.0005148884374648333)
({'lmb': 1e-05, 'lr': 1e-05, 'lr_decay': 0.5, 'lr_step': 100}, 0.020317409187555313, 0.02160803973674774)
({'lmb': 1e-05, 'lr': 1e-05, 'lr_decay': 0.5, 'lr_step': 200}, 0.01750323921442032, 0.01926935836672783)
({'lmb': 1e-05, 'lr': 1e-05, 'lr_decay': 0.5, 'lr_step': 500}, 0.016146443784236908, 0.01718032732605934)
({'lmb': 1e-05, 'lr': 1e-05, 'lr_decay': 0.3, 'lr_step': 100}, 0.0234530046582222, 0.02319152280688286)
({'lmb': 1e-05, 'lr': 1e-05, 'lr_decay': 0.3, 'lr_step': 200}, 0.018343977630138397, 0.020558662712574005)
({'lmb': 1e-05, 'lr': 1e-05, 'lr_decay': 0.3, 'lr_step': 500}, 0.01568502187728882, 0.016140926629304886)
({'lmb': 1e-06, 'lr': 0.001, 'lr_decay': 0.5, 'lr_step': 100}, 0.00012938122381456196, 0.00024739548098295927)
({'lmb': 1e-06, 'lr': 0.001, 'lr_decay': 0.5, 'lr_step': 200}, 0.00014799223572481424, 0.000262674642726779)
({'lmb': 1e-06, 'lr': 0.001, 'lr_decay': 0.5, 'lr_step': 500}, 0.0008902938570827246, 0.0009116608998738229)
({'lmb': 1e-06, 'lr': 0.001, 'lr_decay': 0.3, 'lr_step': 100}, 0.00023824107483960688, 0.0005359284114092588)
({'lmb': 1e-06, 'lr': 0.001, 'lr_decay': 0.3, 'lr_step': 200}, 0.00011307865497656167, 0.00027916126418858767)
({'lmb': 1e-06, 'lr': 0.001, 'lr_decay': 0.3, 'lr_step': 500}, 0.000807501666713506, 0.0012924371985718608)
({'lmb': 1e-06, 'lr': 0.0005, 'lr_decay': 0.5, 'lr_step': 100}, 0.00018385732255410403, 0.0003451594093348831)
({'lmb': 1e-06, 'lr': 0.0005, 'lr_decay': 0.5, 'lr_step': 200}, 0.00022578972857445478, 0.0003525474458001554)
({'lmb': 1e-06, 'lr': 0.0005, 'lr_decay': 0.5, 'lr_step': 500}, 0.00042473789653740823, 0.0007520891958847642)
({'lmb': 1e-06, 'lr': 0.0005, 'lr_decay': 0.3, 'lr_step': 100}, 0.0005564059829339385, 0.0011692331172525883)
({'lmb': 1e-06, 'lr': 0.0005, 'lr_decay': 0.3, 'lr_step': 200}, 0.00015236383478622884, 0.0002698515891097486)
({'lmb': 1e-06, 'lr': 0.0005, 'lr_decay': 0.3, 'lr_step': 500}, 0.00071780412690714, 0.0009976460132747889)
({'lmb': 1e-06, 'lr': 1e-05, 'lr_decay': 0.5, 'lr_step': 100}, 0.019973142072558403, 0.02119431458413601)
({'lmb': 1e-06, 'lr': 1e-05, 'lr_decay': 0.5, 'lr_step': 200}, 0.017314190044999123, 0.01836884208023548)
({'lmb': 1e-06, 'lr': 1e-05, 'lr_decay': 0.5, 'lr_step': 500}, 0.016363929957151413, 0.016354067251086235)
({'lmb': 1e-06, 'lr': 1e-05, 'lr_decay': 0.3, 'lr_step': 100}, 0.02323252148926258, 0.023252159357070923)
({'lmb': 1e-06, 'lr': 1e-05, 'lr_decay': 0.3, 'lr_step': 200}, 0.018313001841306686, 0.01941697858273983)
