({'lmb': 1e-05, 'lr': 0.001, 'lr_decay': 0.5, 'lr_step': 100}, 0.0001658815162954852, 0.00047053201706148684)
({'lmb': 1e-05, 'lr': 0.001, 'lr_decay': 0.5, 'lr_step': 200}, 0.000586755049880594, 0.0011076213559135795)
({'lmb': 1e-05, 'lr': 0.001, 'lr_decay': 0.5, 'lr_step': 500}, 0.0007454120204783976, 0.0008186993072740734)
({'lmb': 1e-05, 'lr': 0.001, 'lr_decay': 0.3, 'lr_step': 100}, 0.00030371671891771257, 0.0009151043486781418)
({'lmb': 1e-05, 'lr': 0.001, 'lr_decay': 0.3, 'lr_step': 200}, 0.00015592723502777517, 0.0005940094706602395)
({'lmb': 1e-05, 'lr': 0.001, 'lr_decay': 0.3, 'lr_step': 500}, 0.0008386376430280507, 0.001113979029469192)
({'lmb': 1e-05, 'lr': 0.0005, 'lr_decay': 0.5, 'lr_step': 100}, 0.0002523955481592566, 0.0007126458804123104)
({'lmb': 1e-05, 'lr': 0.0005, 'lr_decay': 0.5, 'lr_step': 200}, 0.00017535719962324947, 0.000641202786937356)
({'lmb': 1e-05, 'lr': 0.0005, 'lr_decay': 0.5, 'lr_step': 500}, 0.0003184684901498258, 0.0010649606119841337)
({'lmb': 1e-05, 'lr': 0.0005, 'lr_decay': 0.3, 'lr_step': 100}, 0.0004907679976895452, 0.0011781592620536685)
({'lmb': 1e-05, 'lr': 0.0005, 'lr_decay': 0.3, 'lr_step': 200}, 0.00020097597735002637, 0.0005810238653793931)
({'lmb': 1e-05, 'lr': 0.0005, 'lr_decay': 0.3, 'lr_step': 500}, 0.0008383964304812253, 0.0015602586790919304)
({'lmb': 1e-05, 'lr': 1e-05, 'lr_decay': 0.5, 'lr_step': 100}, 0.02064891904592514, 0.012586611323058605)
({'lmb': 1e-05, 'lr': 1e-05, 'lr_decay': 0.5, 'lr_step': 200}, 0.018946010619401932, 0.01125612948089838)
({'lmb': 1e-05, 'lr': 1e-05, 'lr_decay': 0.5, 'lr_step': 500}, 0.01749298721551895, 0.010132852010428905)
({'lmb': 1e-05, 'lr': 1e-05, 'lr_decay': 0.3, 'lr_step': 100}, 0.028883138671517372, 0.01690794713795185)
({'lmb': 1e-05, 'lr': 1e-05, 'lr_decay': 0.3, 'lr_step': 200}, 0.019486770033836365, 0.011916021816432476)
({'lmb': 1e-05, 'lr': 1e-05, 'lr_decay': 0.3, 'lr_step': 500}, 0.01755053922533989, 0.011908387765288353)
({'lmb': 1e-06, 'lr': 0.001, 'lr_decay': 0.5, 'lr_step': 100}, 0.00017486538854427636, 0.0005728899268433452)
({'lmb': 1e-06, 'lr': 0.001, 'lr_decay': 0.5, 'lr_step': 200}, 0.00016826308274175972, 0.00045916344970464706)
({'lmb': 1e-06, 'lr': 0.001, 'lr_decay': 0.5, 'lr_step': 500}, 0.0002648385416250676, 0.0013885761145502329)
({'lmb': 1e-06, 'lr': 0.001, 'lr_decay': 0.3, 'lr_step': 100}, 0.000287656846921891, 0.0010214656358584762)
({'lmb': 1e-06, 'lr': 0.001, 'lr_decay': 0.3, 'lr_step': 200}, 0.00016469048568978906, 0.0006630904972553253)
({'lmb': 1e-06, 'lr': 0.001, 'lr_decay': 0.3, 'lr_step': 500}, 0.0007343272445723414, 0.0019890882540494204)
({'lmb': 1e-06, 'lr': 0.0005, 'lr_decay': 0.5, 'lr_step': 100}, 0.0002618732978589833, 0.0007817089790478349)
({'lmb': 1e-06, 'lr': 0.0005, 'lr_decay': 0.5, 'lr_step': 200}, 0.0001878976618172601, 0.0006534430431202054)
({'lmb': 1e-06, 'lr': 0.0005, 'lr_decay': 0.5, 'lr_step': 500}, 0.00043870750232599676, 0.0007911889697425067)
({'lmb': 1e-06, 'lr': 0.0005, 'lr_decay': 0.3, 'lr_step': 100}, 0.0005193694960325956, 0.0011875260388478637)
({'lmb': 1e-06, 'lr': 0.0005, 'lr_decay': 0.3, 'lr_step': 200}, 0.00020029496226925403, 0.0007500689825974405)
({'lmb': 1e-06, 'lr': 0.0005, 'lr_decay': 0.3, 'lr_step': 500}, 0.0009226268157362938, 0.0008592793019488454)
({'lmb': 1e-06, 'lr': 1e-05, 'lr_decay': 0.5, 'lr_step': 100}, 0.02218114584684372, 0.013456757180392742)
({'lmb': 1e-06, 'lr': 1e-05, 'lr_decay': 0.5, 'lr_step': 200}, 0.018651863560080528, 0.011603138409554958)
({'lmb': 1e-06, 'lr': 1e-05, 'lr_decay': 0.5, 'lr_step': 500}, 0.0177341066300869, 0.011824838817119598)
({'lmb': 1e-06, 'lr': 1e-05, 'lr_decay': 0.3, 'lr_step': 100}, 0.02721429616212845, 0.015790395438671112)
({'lmb': 1e-06, 'lr': 1e-05, 'lr_decay': 0.3, 'lr_step': 200}, 0.019428495317697525, 0.012031438760459423)
({'lmb': 1e-06, 'lr': 1e-05, 'lr_decay': 0.3, 'lr_step': 500}, 0.017279542982578278, 0.012157808057963848)
({'lmb': 1e-07, 'lr': 0.001, 'lr_decay': 0.5, 'lr_step': 100}, 0.00018718108185566962, 0.00047907032421790063)
({'lmb': 1e-07, 'lr': 0.001, 'lr_decay': 0.5, 'lr_step': 200}, 0.000363369908882305, 0.0007142167305573821)
({'lmb': 1e-07, 'lr': 0.001, 'lr_decay': 0.5, 'lr_step': 500}, 0.0005208628717809916, 0.0015956292627379298)
({'lmb': 1e-07, 'lr': 0.001, 'lr_decay': 0.3, 'lr_step': 100}, 0.0003215889446437359, 0.0011539440602064133)
({'lmb': 1e-07, 'lr': 0.001, 'lr_decay': 0.3, 'lr_step': 200}, 0.00014879379887133837, 0.0005224821506999433)
({'lmb': 1e-07, 'lr': 0.001, 'lr_decay': 0.3, 'lr_step': 500}, 0.0008150642388500273, 0.0007498592603951693)
({'lmb': 1e-07, 'lr': 0.0005, 'lr_decay': 0.5, 'lr_step': 100}, 0.00026437139604240656, 0.0007201092666946352)
({'lmb': 1e-07, 'lr': 0.0005, 'lr_decay': 0.5, 'lr_step': 200}, 0.0001695838145678863, 0.0005468059680424631)
({'lmb': 1e-07, 'lr': 0.0005, 'lr_decay': 0.5, 'lr_step': 500}, 0.0018048295751214027, 0.0030795217026025057)
({'lmb': 1e-07, 'lr': 0.0005, 'lr_decay': 0.3, 'lr_step': 100}, 0.0006826334283687174, 0.0016826303908601403)
({'lmb': 1e-07, 'lr': 0.0005, 'lr_decay': 0.3, 'lr_step': 200}, 0.00022778540733270347, 0.000757672474719584)
({'lmb': 1e-07, 'lr': 0.0005, 'lr_decay': 0.3, 'lr_step': 500}, 0.0006847342592664063, 0.0010481629287824035)
({'lmb': 1e-07, 'lr': 1e-05, 'lr_decay': 0.5, 'lr_step': 100}, 0.021691538393497467, 0.012990444898605347)
({'lmb': 1e-07, 'lr': 1e-05, 'lr_decay': 0.5, 'lr_step': 200}, 0.018822576850652695, 0.010953514836728573)
({'lmb': 1e-07, 'lr': 1e-05, 'lr_decay': 0.5, 'lr_step': 500}, 0.01769860088825226, 0.01159660890698433)
