({'lmb': 1e-05, 'lr': 0.01, 'lr_decay': 0.7, 'lr_step': 30}, 0.0013370226370170712, 0.0014474410563707352)
({'lmb': 1e-05, 'lr': 0.01, 'lr_decay': 0.7, 'lr_step': 40}, 0.0040766457095742226, 0.007730104029178619)
({'lmb': 1e-05, 'lr': 0.01, 'lr_decay': 0.8, 'lr_step': 30}, 0.0006178678595460951, 0.0009036415140144527)
({'lmb': 1e-05, 'lr': 0.01, 'lr_decay': 0.8, 'lr_step': 40}, 0.0004000552580691874, 0.0010445639491081238)
({'lmb': 1e-05, 'lr': 0.006, 'lr_decay': 0.7, 'lr_step': 30}, 0.0010119607904925942, 0.0011244857450947165)
({'lmb': 1e-05, 'lr': 0.006, 'lr_decay': 0.7, 'lr_step': 40}, 0.001457431586459279, 0.0015504127368330956)
({'lmb': 1e-05, 'lr': 0.006, 'lr_decay': 0.8, 'lr_step': 30}, 0.0004883066867478192, 0.0006086374050937593)
({'lmb': 1e-05, 'lr': 0.006, 'lr_decay': 0.8, 'lr_step': 40}, 0.000472752726636827, 0.0006315059144981205)
({'lmb': 1e-05, 'lr': 0.003, 'lr_decay': 0.7, 'lr_step': 30}, 0.0014274747809395194, 0.0013198954984545708)
({'lmb': 1e-05, 'lr': 0.003, 'lr_decay': 0.7, 'lr_step': 40}, 0.0006962718907743692, 0.0006906363414600492)
({'lmb': 1e-05, 'lr': 0.003, 'lr_decay': 0.8, 'lr_step': 30}, 0.0005562111036852002, 0.0006969470996409655)
({'lmb': 1e-05, 'lr': 0.003, 'lr_decay': 0.8, 'lr_step': 40}, 0.0005131623474881053, 0.0006110241520218551)
({'lmb': 1e-05, 'lr': 0.001, 'lr_decay': 0.7, 'lr_step': 30}, 0.0026491342578083277, 0.0026113621424883604)
({'lmb': 1e-05, 'lr': 0.001, 'lr_decay': 0.7, 'lr_step': 40}, 0.001115760998800397, 0.0012045048642903566)
({'lmb': 1e-05, 'lr': 0.001, 'lr_decay': 0.8, 'lr_step': 30}, 0.0010997818317264318, 0.0011248114751651883)
({'lmb': 1e-05, 'lr': 0.001, 'lr_decay': 0.8, 'lr_step': 40}, 0.0008806674741208553, 0.0008141848375089467)
({'lmb': 1e-06, 'lr': 0.01, 'lr_decay': 0.7, 'lr_step': 30}, 0.0016505735693499446, 0.0017299102619290352)
({'lmb': 1e-06, 'lr': 0.01, 'lr_decay': 0.7, 'lr_step': 40}, 0.0005167713388800621, 0.0007358181173913181)
({'lmb': 1e-06, 'lr': 0.01, 'lr_decay': 0.8, 'lr_step': 30}, 0.0015403825091198087, 0.001612969092093408)
({'lmb': 1e-06, 'lr': 0.01, 'lr_decay': 0.8, 'lr_step': 40}, 0.0006278968648985028, 0.0009792954660952091)
({'lmb': 1e-06, 'lr': 0.006, 'lr_decay': 0.7, 'lr_step': 30}, 0.0016414064448326826, 0.0016048414399847388)
({'lmb': 1e-06, 'lr': 0.006, 'lr_decay': 0.7, 'lr_step': 40}, 0.000638185883872211, 0.0007188554154708982)
({'lmb': 1e-06, 'lr': 0.006, 'lr_decay': 0.8, 'lr_step': 30}, 0.0008851585444062948, 0.0009175012237392366)
({'lmb': 1e-06, 'lr': 0.006, 'lr_decay': 0.8, 'lr_step': 40}, 0.0005726257222704589, 0.0008193636313080788)
({'lmb': 1e-06, 'lr': 0.003, 'lr_decay': 0.7, 'lr_step': 30}, 0.0010276945540681481, 0.0009182677022181451)
({'lmb': 1e-06, 'lr': 0.003, 'lr_decay': 0.7, 'lr_step': 40}, 0.0006828631740063429, 0.000720418815035373)
({'lmb': 1e-06, 'lr': 0.003, 'lr_decay': 0.8, 'lr_step': 30}, 0.0005823217798024416, 0.0006664431421086192)
